# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
1.300000 1.0681100200e-04 1.6506500000e-02 9.8338669000e-01 9.9248791300e-05 3.0421400000e-02 9.6947935000e-01
1.310000 1.2387734300e-04 1.5350130000e-02 9.8452599000e-01 1.1538625800e-04 2.7525710000e-02 9.7235890000e-01
1.320000 1.2899413900e-04 1.5341560000e-02 9.8452944000e-01 1.2050495100e-04 2.6617770000e-02 9.7326173000e-01
1.330000 1.3424504100e-04 1.5373900000e-02 9.8449185000e-01 1.2578069200e-04 2.5733490000e-02 9.7414073000e-01
1.340000 1.3963069900e-04 1.5448260000e-02 9.8441211000e-01 1.3121536300e-04 2.4875250000e-02 9.7499354000e-01
1.350000 1.4515165000e-04 1.5565720000e-02 9.8428913000e-01 1.3681070500e-04 2.4045420000e-02 9.7581777000e-01
1.360000 1.5080836200e-04 1.5727370000e-02 9.8412182000e-01 1.4256835300e-04 2.3246410000e-02 9.7661102000e-01
1.370000 1.5660118800e-04 1.5934220000e-02 9.8390917000e-01 1.4848982600e-04 2.2480600000e-02 9.7737091000e-01
1.380000 1.6253040900e-04 1.6187260000e-02 9.8365021000e-01 1.5457655900e-04 2.1750300000e-02 9.7809513000e-01
1.390000 1.6859619200e-04 1.6487470000e-02 9.8334394000e-01 1.6082980100e-04 2.1057910000e-02 9.7878126000e-01
1.400000 1.7479862300e-04 1.6835760000e-02 9.8298944000e-01 1.6725072100e-04 2.0405750000e-02 9.7942699000e-01
1.410000 1.8113765600e-04 1.7233000000e-02 9.8258586000e-01 1.7384032700e-04 1.9796110000e-02 9.8003005000e-01
1.420000 1.8761318600e-04 1.7680100000e-02 9.8213229000e-01 1.8059947300e-04 1.9231330000e-02 9.8058808000e-01
1.430000 1.9422500400e-04 1.8177850000e-02 9.8162793000e-01 1.8752892900e-04 1.8713620000e-02 9.8109885000e-01
1.440000 2.0097275300e-04 1.8727020000e-02 9.8107201000e-01 1.9462922400e-04 1.8245260000e-02 9.8156011000e-01
1.450000 2.0785604800e-04 1.9328410000e-02 9.8046373000e-01 2.0190082100e-04 1.7828440000e-02 9.8196966000e-01
1.460000 2.1487431000e-04 1.9982720000e-02 9.7980241000e-01 2.0934390800e-04 1.7465370000e-02 9.8232529000e-01
1.470000 2.2202696400e-04 2.0690620000e-02 9.7908735000e-01 2.1695868900e-04 1.7158120000e-02 9.8262492000e-01
1.480000 2.2931320900e-04 2.1452790000e-02 9.7831790000e-01 2.2474495300e-04 1.6908880000e-02 9.8286638000e-01
1.490000 2.3673226000e-04 2.2269840000e-02 9.7749343000e-01 2.3270255800e-04 1.6719650000e-02 9.8304765000e-01
1.500000 2.4428313800e-04 2.3142310000e-02 9.7661340000e-01 2.4083102800e-04 1.6592440000e-02 9.8316673000e-01
1.510000 2.5196478300e-04 2.4070810000e-02 9.7567722000e-01 2.4912974400e-04 1.6529250000e-02 9.8322162000e-01
1.520000 2.5977606300e-04 2.5055810000e-02 9.7468441000e-01 2.5759794400e-04 1.6531980000e-02 9.8321043000e-01
1.530000 2.6771570600e-04 2.6097770000e-02 9.7363451000e-01 2.6623465700e-04 1.6602450000e-02 9.8313132000e-01
