# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
1.510000 2.0207328000e-04 8.1089420000e-02 9.1870851000e-01 2.0379672200e-04 8.4908590000e-02 9.1488761000e-01
1.520000 2.0768228900e-04 8.3460120000e-02 9.1633220000e-01 2.0930054900e-04 8.7383170000e-02 9.1240753000e-01
1.530000 2.1335547300e-04 8.5871620000e-02 9.1391503000e-01 2.1486662500e-04 8.9890390000e-02 9.0989474000e-01
1.540000 2.1909096200e-04 8.8323630000e-02 9.1145728000e-01 2.2049335400e-04 9.2430020000e-02 9.0734949000e-01
1.550000 2.2488676700e-04 9.0815690000e-02 9.0895943000e-01 2.2617902200e-04 9.5001660000e-02 9.0477216000e-01
1.560000 2.3074086300e-04 9.3347420000e-02 9.0642184000e-01 2.3192186600e-04 9.7605060000e-02 9.0216302000e-01
1.570000 2.3665124200e-04 9.5918210000e-02 9.0384514000e-01 2.3772017000e-04 1.0023970000e-01 8.9952258000e-01
1.580000 2.4261580900e-04 9.8527700000e-02 9.0122968000e-01 2.4357209600e-04 1.0290537000e-01 8.9685106000e-01
1.590000 2.4863240500e-04 1.0117509000e-01 8.9857628000e-01 2.4947576900e-04 1.0560139000e-01 8.9414914000e-01
1.600000 2.5469896300e-04 1.0386000000e-01 8.9588530000e-01 2.5542938700e-04 1.0832757000e-01 8.9141700000e-01
1.610000 2.6081323300e-04 1.0658153000e-01 8.9315765000e-01 2.6143097500e-04 1.1108318000e-01 8.8865539000e-01
1.620000 2.6697303600e-04 1.0933918000e-01 8.9039385000e-01 2.6747860800e-04 1.1386787000e-01 8.8586465000e-01
1.630000 2.7317619700e-04 1.1213209000e-01 8.8759473000e-01 2.7357038400e-04 1.1668102000e-01 8.8304541000e-01
1.640000 2.7942045700e-04 1.1495957000e-01 8.8476101000e-01 2.7970429400e-04 1.1952212000e-01 8.8019818000e-01
1.650000 2.8570353700e-04 1.1782077000e-01 8.8189353000e-01 2.8587831000e-04 1.2239052000e-01 8.7732360000e-01
1.660000 2.9202325000e-04 1.2071488000e-01 8.7899309000e-01 2.9209049400e-04 1.2528566000e-01 8.7442225000e-01
1.670000 2.9837730500e-04 1.2364109000e-01 8.7606053000e-01 2.9833878900e-04 1.2820693000e-01 8.7149473000e-01
1.680000 3.0476339900e-04 1.2659840000e-01 8.7309683000e-01 3.0462112700e-04 1.3115357000e-01 8.6854181000e-01
1.690000 3.1117934800e-04 1.2958612000e-01 8.7010270000e-01 3.1093554400e-04 1.3412513000e-01 8.6556394000e-01
1.700000 3.1762286400e-04 1.3260305000e-01 8.6707932000e-01 3.1727997900e-04 1.3712064000e-01 8.6256208000e-01
1.710000 3.2409162000e-04 1.3564853000e-01 8.6402738000e-01 3.2365229700e-04 1.4013969000e-01 8.5953666000e-01
1.720000 3.3058348700e-04 1.3872133000e-01 8.6094808000e-01 3.3005058600e-04 1.4318129000e-01 8.5648866000e-01
1.730000 3.3709618700e-04 1.4182077000e-01 8.5784213000e-01 3.3647274200e-04 1.4624501000e-01 8.5341852000e-01
1.740000 3.4362745600e-04 1.4494552000e-01 8.5471085000e-01 3.4291669700e-04 1.4932976000e-01 8.5032732000e-01
1.750000 3.5017518300e-04 1.4809490000e-01 8.5155492000e-01 3.4938049900e-04 1.5243511000e-01 8.4721551000e-01
1.760000 3.5673714400e-04 1.5126768000e-01 8.4837558000e-01 3.5586209500e-04 1.5556009000e-01 8.4408405000e-01
1.770000 3.6331113800e-04 1.5446293000e-01 8.4517376000e-01 3.6235943100e-04 1.5870399000e-01 8.4093365000e-01
1.780000 3.6989512200e-04 1.5767961000e-01 8.4195049000e-01 3.6887060600e-04 1.6186603000e-01 8.3776510000e-01
1.790000 3.7648694500e-04 1.6091667000e-01 8.3870684000e-01 3.7539360300e-04 1.6504539000e-01 8.3457922000e-01
1.800000 3.8308449300e-04 1.6417317000e-01 8.3544375000e-01 3.8192642300e-04 1.6824138000e-01 8.3137669000e-01
1.810000 3.8968577600e-04 1.6744789000e-01 8.3216243000e-01 3.8846719400e-04 1.7145301000e-01 8.2815852000e-01
1.820000 3.9628876500e-04 1.7074006000e-01 8.2886365000e-01 3.9501398000e-04 1.7467975000e-01 8.2492524000e-01
1.830000 4.0289142800e-04 1.7404830000e-01 8.2554881000e-01 4.0156484600e-04 1.7792043000e-01 8.2167800000e-01
1.840000 4.0949189500e-04 1.7737207000e-01 8.2221844000e-01 4.0811799100e-04 1.8117474000e-01 8.1841714000e-01
1.850000 4.1608823700e-04 1.8070982000e-01 8.1887409000e-01 4.1467156500e-04 1.8444137000e-01 8.1514396000e-01
1.860000 4.2267849400e-04 1.8406099000e-01 8.1551633000e-01 4.2122365800e-04 1.8771994000e-01 8.1185884000e-01
1.870000 4.2926097400e-04 1.8742419000e-01 8.1214655000e-01 4.2777263200e-04 1.9100929000e-01 8.0856293000e-01
1.880000 4.3583380100e-04 1.9079875000e-01 8.0876541000e-01 4.3431664600e-04 1.9430895000e-01 8.0525673000e-01
1.890000 4.4239518500e-04 1.9418344000e-01 8.0537416000e-01 4.4085394100e-04 1.9761789000e-01 8.0194126000e-01
1.900000 4.4894353600e-04 1.9757743000e-01 8.0197362000e-01 4.4738294300e-04 2.0093547000e-01 7.9861715000e-01
1.910000 4.5547708800e-04 2.0097968000e-01 7.9856485000e-01 4.5390189600e-04 2.0426082000e-01 7.9528528000e-01
1.920000 4.6199420200e-04 2.0438922000e-01 7.9514879000e-01 4.6040916200e-04 2.0759317000e-01 7.9194642000e-01
1.930000 4.6849338800e-04 2.0780526000e-01 7.9172624000e-01 4.6690324100e-04 2.1093190000e-01 7.8860119000e-01
1.940000 4.7497308300e-04 2.1122663000e-01 7.8829840000e-01 4.7338255000e-04 2.1427600000e-01 7.8525061000e-01
1.950000 4.8143168300e-04 2.1465271000e-01 7.8486586000e-01 4.7984546200e-04 2.1762502000e-01 7.8189513000e-01
1.960000 4.8786792800e-04 2.1808226000e-01 7.8142987000e-01 4.8629068000e-04 2.2097787000e-01 7.7853584000e-01
1.970000 4.9428027000e-04 2.2151491000e-01 7.7799081000e-01 4.9271661200e-04 2.2433433000e-01 7.7517296000e-01
1.980000 5.0066737700e-04 2.2494919000e-01 7.7455015000e-01 4.9912188000e-04 2.2769306000e-01 7.7180781000e-01
