# wll SA_transmittance SA_reflectance SA_absorbance SA_transmittance SA_reflectance SA_absorbance
2.260000 0.000442 0.386700 0.612858 0.000587 0.316010 0.683403
2.270000 0.000446 0.388825 0.610729 0.000592 0.318881 0.680528
2.280000 0.000449 0.390936 0.608615 0.000596 0.321739 0.677665
2.290000 0.000452 0.393032 0.606516 0.000601 0.324583 0.674815
2.300000 0.000456 0.395113 0.604431 0.000606 0.327415 0.671979
2.310000 0.000459 0.397180 0.602361 0.000611 0.330234 0.669156
2.320000 0.000463 0.399232 0.600305 0.000615 0.333039 0.666346
2.330000 0.000466 0.401270 0.598263 0.000620 0.335830 0.663550
2.340000 0.000470 0.403295 0.596236 0.000625 0.338608 0.660768
2.350000 0.000473 0.405305 0.594222 0.000629 0.341372 0.657999
2.360000 0.000476 0.407301 0.592222 0.000634 0.344122 0.655244
2.370000 0.000480 0.409284 0.590236 0.000638 0.346858 0.652504
2.380000 0.000483 0.411254 0.588264 0.000643 0.349580 0.649777
2.390000 0.000486 0.413210 0.586304 0.000647 0.352288 0.647065
2.400000 0.000491 0.415695 0.583815 0.000653 0.355283 0.644064
2.410000 0.000495 0.418167 0.581338 0.000658 0.358265 0.641077
2.420000 0.000499 0.420625 0.578876 0.000664 0.361234 0.638102
2.430000 0.000504 0.423070 0.576427 0.000670 0.364189 0.635141
2.440000 0.000508 0.425501 0.573991 0.000675 0.367131 0.632194
2.450000 0.000512 0.427919 0.571569 0.000681 0.370059 0.629260
2.460000 0.000516 0.430323 0.569161 0.000686 0.372973 0.626340
2.470000 0.000521 0.432713 0.566766 0.000692 0.375874 0.623434
2.480000 0.000534 0.434464 0.565002 0.000708 0.378292 0.620999
2.490000 0.000547 0.436208 0.563245 0.000725 0.380698 0.618576
2.500000 0.000561 0.437946 0.561493 0.000742 0.383092 0.616166
